Season,League_3PM,League_3PA,League_3P%
2009-10,5.767901235,16.55308642,0.344506173
2010-11,5.607865169,16.40337079,0.336932584
2011-12,6.363793103,18.13793103,0.349327586
2012-13,6.228089888,18.10674157,0.339370787
2013-14,6.855555556,20.29555556,0.333922222
2014-15,7.125274725,21.16263736,0.333505495
2015-16,7.308602151,21.78494624,0.330774194
2016-17,8.21875,24.10416667,0.3389375
2017-18,9.223469388,26.7,0.343081633
2018-19,9.649494949,28.6030303,0.335929293
2019-20,10.35268817,28.40645161,0.373634409
2020-21,11.40833333,32.29833333,0.352783333
2021-22,11.19894737,30.03894737,0.381547368
2022-23,11.50138889,32.32777778,0.354597222
2023-24,11.80684932,33.18082192,0.354767123
2024-25,12.11710526,34.36184211,0.350407895
2025-26,11.23023256,32.38837209,0.345697674
