Season,Curry_FG3M_per_game,League_3PM_per_game,Curry_FG3A_per_game,League_3PA_per_game
2009-10,2.075,5.767901235,4.75,16.55308642
2010-11,2.040540541,5.607865169,4.621621622,16.40337079
2011-12,2.115384615,6.363793103,4.653846154,18.13793103
2012-13,3.487179487,6.228089888,7.692307692,18.10674157
2013-14,3.346153846,6.855555556,7.884615385,20.29555556
2014-15,3.575,7.125274725,8.075,21.16263736
2015-16,5.088607595,7.308602151,11.21518987,21.78494624
2016-17,4.101265823,8.21875,9.987341772,24.10416667
2017-18,4.156862745,9.223469388,9.823529412,26.7
2018-19,5.130434783,9.649494949,11.73913043,28.6030303
2019-20,2.4,10.35268817,9.8,28.40645161
2020-21,5.349206349,11.40833333,12.71428571,32.29833333
2021-22,4.453125,11.19894737,11.71875,30.03894737
2022-23,4.875,11.50138889,11.41071429,32.32777778
2023-24,4.824324324,11.80684932,11.83783784,33.18082192
2024-25,4.442857143,12.11710526,11.2,34.36184211
2025-26,4.6875,11.23023256,12,32.38837209
